Ticker,Date,Open,Close,High,Low,Volume
MSFT,2025-04-02,377.97,381.98,385.05,376.69,516430
MSFT,2025-04-03,374.83,373.01,377.46,369.31,1013745
MSFT,2025-04-04,364.13,359.81,374.5,359.51,1472554
MSFT,2025-04-07,350.37,357.7,370.71,344.9,1474397
MSFT,2025-04-08,368.26,355.22,373.6,350.39,1126506
MSFT,2025-04-09,353.1,390.18,393.21,353.1,1298691
MSFT,2025-04-10,382.02,381.18,383.9,367.88,944022
MSFT,2025-04-11,380.64,388.14,390,379.04,627150
MSFT,2025-04-14,393.11,388.04,394.63,384.17,529886
MSFT,2025-04-15,388.51,385.65,391.89,384.19,542622
MSFT,2025-04-16,380.65,371.52,381.42,368.25,604626
MSFT,2025-04-17,373.6,367.63,374.25,366.92,681803
NFLX,2025-01-02,895.5,886.74,898.58,877.34,71092
NFLX,2025-01-03,892.91,880.49,898.03,880.08,157873
NFLX,2025-01-06,888.76,881.7,892.96,871.98,158617
NFLX,2025-01-07,878.63,879.26,887.9,869.32,108691
NFLX,2025-01-08,880.77,875.07,885.95,873.19,72957
NFLX,2025-01-10,866.45,837.7,867.25,834.61,254264
NFLX,2025-01-13,832.88,840.55,846.83,830.38,95408
NFLX,2025-01-14,843.5,828.49,844.54,823.59,89749
NFLX,2025-01-15,836.7,847.86,850.37,830.45,103646
NFLX,2025-01-16,861.92,842.22,868.5,842.19,98062
NFLX,2025-01-17,858.64,858.13,865,852.51,109623
NFLX,2025-01-21,863.53,871.47,873.37,854.84,189114
NFLX,2025-01-22,998,953.81,998.03,950.9,282478
NFLX,2025-01-23,956.07,984.69,985,953.9,139070
NFLX,2025-01-24,984.08,977.64,986.4,967.68,112302
NFLX,2025-01-27,971,971.81,982.06,960.28,122970
NFLX,2025-01-28,967.53,971.32,977.91,957.5,104609
NFLX,2025-01-29,978.28,978.19,987.37,968.17,88009
NFLX,2025-01-30,985.48,973.41,994.53,970.26,142676
NFLX,2025-01-31,975.14,976.34,990.23,974.2,90694
NFLX,2025-02-03,972,978.65,987.58,964.5,103638
NFLX,2025-02-04,983.88,994.52,1007.87,978.88,151600
NFLX,2025-02-05,988.23,1010.71,1011.78,987.13,112035
NFLX,2025-02-06,1008.15,1015.58,1016.35,1002.97,101362
NFLX,2025-02-07,1016.5,1013.9,1027.41,1006.75,102284
